"dep","nouvelle","anciennes","date","population","chflieu","jorf"
"25","Sancey","Sancey-le-Grand|Sancey-le-Long",,1322,"Sancey-le-Grand","JORFTEXT000031680352"
"26","Mercurol-Veaunes","Mercurol|Veaunes",,2571,"Mercurol","JORFTEXT000031680352"
"26","Solaure-en-Diois","Aix-en-Diois|Molières-Glandaz",,479,"Aix-en-Diois",
"27","Amfreville-Saint-Amand","Amfreville-la-Campagne|Saint-Amand-des-Hautes-Terres",,,,
"27","Bourneville-Sainte-Croix","Bourneville|Sainte-Croix-sur-Aizier",,1233,"Bourneville","JORFTEXT000031690257"
"27","Breteuil","Breteuil|Cintray|La Guéroulde",,,,
"27","Chambois","Avrilly|Corneuil|Thomer-la-Sôgne",,,,
"27","Clef-Vallée-d’Eure","Ecardenville-sur-Eure|Fontaine-Heudebourg|La Croix-Saint-Leufroy",,,,
"27","Flancourt-Crescy-en-Roumois","Bosc-Bénard-Crescy|Épreville-en-Roumois|Flancourt-Catelon",,,,
"27","Grand-Bourgtheroulde","Bosc-Bénard-Commin|Bourgtheroulde-Infreville|Thuit-Hébert",,,,
"27","La Baronnie","Garencières|Quessigny",,,,
"27","Le Bosc-du-Theil","Le Gros-Theil|Saint-Nicolas-du-Bosc",,,,
"27","Le Lesme","Guernanville|Sainte-Marguerite-de-l’Autel",,,,
"27","Le Thuit-de-l’Oison","Le Thuit-Signol|Le Thuit-Anger|de Le Thuit-Simer",,,,
"27","Le Val-d'Hazey","Aubevoye|Sainte-Barbe-sur-Gaillon|Vieux-Villez",,,,
"27","Marbois","Chanteloup|Le Chesne|Les Essarts|Saint-Denis-du-Béhélan",,,,
